# a b m n r rhoa
49 52 60 63 90.214960 -89.003770
49 52 61 64 -29.033713 13.566928
50 53 61 64 86.731969 -84.195912
52 55 41 44 -22.618408 15.172669
52 55 57 60 130.676520 -130.348527
53 56 42 45 14.543967 -9.735785
53 56 57 60 -24.961283 11.704945
53 56 58 61 103.632259 -99.375539
57 60 52 55 129.663677 -129.338226
57 60 53 56 -23.335233 10.942451
58 61 53 56 106.303821 -101.937366
60 63 4 7 617.052291 231.005518
60 63 6 9 -995.132675 232.206148
60 63 7 10 -1027.161400 223.848584
60 63 10 13 643.923989 226.847278
60 63 16 19 -1010.119880 181.294994
60 63 49 52 90.054549 -88.845513
60 63 62 1 -1039.769100 91.113650
61 64 4 7 576.941857 241.275380
61 64 6 9 -890.057038 251.476713
61 64 7 10 -934.715551 237.164183
61 64 10 13 563.244387 250.073490
61 64 11 14 688.062679 254.044235
61 64 16 19 -941.753638 187.173640
61 64 49 52 -27.384450 12.796258
61 64 50 53 85.315877 -82.821228
61 64 62 1 -315.804982 -696.849143
62 1 2 5 -5717.053960 295.785681
62 1 6 9 5716.239080 253.503714
62 1 7 10 5675.061870 289.291928
62 1 9 12 -5708.392310 331.925200
62 1 14 17 5704.655740 365.802969
62 1 60 63 -770.596622 67.526407
62 1 61 64 -276.182100 -609.418061
62 1 63 2 5611.054090 101.546694
62 1 64 3 5630.121560 132.408836
63 2 3 6 -8739.311260 491.551047
63 2 7 10 8675.230000 425.854216
63 2 22 25 3497.603900 336.423573
63 2 62 1 8369.106470 151.460862
63 2 64 3 8398.795170 151.654843
64 3 1 4 4623.775650 11692.397335
64 3 9 12 1258.449160 -703.448891
64 3 10 13 -3611.216920 388.387683
64 3 17 20 -517.200975 134.384457
64 3 22 25 2134.755050 294.220241
64 3 24 27 2968.735620 286.969040
64 3 62 1 7414.173790 174.366062
64 3 63 2 11934.316100 215.494818
