1 2 54 61
1 2 32 39
1 2 39 46
1 2 46 53
1 2 53 60
1 2 24 31
1 2 31 38
1 2 38 45
1 2 45 52
1 2 52 59
1 2 16 23
1 2 23 30
1 2 30 37
1 2 37 44
1 2 44 51
1 2 51 58
1 2 8 15
1 2 15 22
1 2 22 29
1 2 29 36
1 2 36 43
1 2 43 50
1 2 50 57
1 2 7 14
1 2 14 21
1 2 21 28
1 2 28 35
1 2 35 42
1 2 42 49
1 2 6 13
1 2 13 20
1 2 20 27
1 2 27 34
1 2 34 41
1 2 5 12
1 2 12 19
1 2 19 26
1 2 26 33
1 2 4 11
1 2 11 18
1 2 18 25
1 2 3 10
1 2 10 17
1 3 4 5
1 3 5 6
1 3 6 7
1 3 7 8
1 3 9 10
1 3 10 11
1 3 11 12
1 3 12 13
1 3 13 14
1 3 14 15
1 3 15 16
1 3 17 18
1 3 18 19
1 3 19 20
1 3 20 21
1 3 21 22
1 3 22 23
1 3 23 24
1 3 25 26
1 3 26 27
1 3 27 28
1 3 28 29
1 3 29 30
1 3 30 31
1 3 31 32
1 3 33 34
1 3 34 35
1 3 35 36
1 3 36 37
1 3 37 38
1 3 38 39
1 3 39 40
1 3 41 42
1 3 42 43
1 3 43 44
1 3 44 45
1 3 45 46
1 3 46 47
1 3 47 48
1 3 49 50
1 3 50 51
1 3 51 52
1 3 52 53
1 3 53 54
1 3 54 55
1 3 55 56
1 3 57 58
1 3 58 59
1 3 59 60
1 3 60 61
1 3 61 62
1 3 62 63
1 3 63 64
1 3 9 17
1 3 17 25
1 3 25 33
1 3 33 41
1 3 41 49
1 3 49 57
1 3 2 10
1 3 10 18
1 3 18 26
1 3 26 34
1 3 34 42
1 3 42 50
1 3 50 58
1 3 11 19
1 3 19 27
1 3 27 35
1 3 35 43
1 3 43 51
1 3 51 59
1 3 4 12
1 3 12 20
1 3 20 28
1 3 28 36
1 3 36 44
1 3 44 52
1 3 52 60
1 3 5 13
1 3 13 21
1 3 21 29
1 3 29 37
1 3 37 45
1 3 45 53
1 3 53 61
1 3 6 14
1 3 14 22
1 3 22 30
1 3 30 38
1 3 38 46
1 3 46 54
1 3 54 62
1 3 7 15
1 3 15 23
1 3 23 31
1 3 31 39
1 3 39 47
1 3 47 55
1 3 55 63
1 3 8 16
1 3 16 24
1 3 24 32
1 3 32 40
1 3 40 48
1 3 48 56
1 3 56 64
1 3 49 58
1 3 41 50
1 3 50 59
1 3 33 42
1 3 42 51
1 3 51 60
1 3 25 34
1 3 34 43
1 3 43 52
1 3 52 61
1 3 17 26
1 3 26 35
1 3 35 44
1 3 44 53
1 3 53 62
1 3 9 18
1 3 18 27
1 3 27 36
1 3 36 45
1 3 45 54
1 3 54 63
1 3 10 19
1 3 19 28
1 3 28 37
1 3 37 46
1 3 46 55
1 3 55 64
1 3 2 11
1 3 11 20
1 3 20 29
1 3 29 38
1 3 38 47
1 3 47 56
1 3 12 21
1 3 21 30
1 3 30 39
1 3 39 48
1 3 4 13
1 3 13 22
1 3 22 31
1 3 31 40
1 3 5 14
1 3 14 23
1 3 23 32
1 3 6 15
1 3 15 24
1 3 7 16
1 3 56 63
1 3 48 55
1 3 55 62
1 3 40 47
1 3 47 54
1 3 54 61
1 3 32 39
1 3 39 46
1 3 46 53
1 3 53 60
1 3 24 31
1 3 31 38
1 3 38 45
1 3 45 52
1 3 52 59
1 3 16 23
1 3 23 30
1 3 30 37
1 3 37 44
1 3 44 51
1 3 51 58
1 3 8 15
1 3 15 22
1 3 22 29
1 3 29 36
1 3 36 43
1 3 43 50
1 3 50 57
1 3 7 14
1 3 14 21
1 3 21 28
1 3 28 35
1 3 35 42
1 3 42 49
1 3 6 13
1 3 13 20
1 3 20 27
1 3 27 34
1 3 34 41
1 3 5 12
1 3 12 19
1 3 19 26
1 3 26 33
