# X Y Z i
284214.50 5036222.40 -10.00 0.000502
284234.50 5036222.40 -10.00 0.000002
284254.50 5036222.40 -10.00 0.000470
284274.50 5036222.40 -10.00 0.000862
284294.50 5036222.40 -10.00 0.003430
284314.50 5036222.40 -10.00 0.002802
284334.50 5036222.40 -10.00 0.026536
284214.50 5036242.40 -10.00 0.000390
284234.50 5036242.40 -10.00 0.000026
284254.50 5036242.40 -10.00 0.000785
284274.50 5036242.40 -10.00 0.000762
284294.50 5036242.40 -10.00 0.001017
284314.50 5036242.40 -10.00 0.004936
284334.50 5036242.40 -10.00 0.020096
284214.50 5036262.40 -10.00 0.000688
284234.50 5036262.40 -10.00 0.000701
284254.50 5036262.40 -10.00 0.000673
284274.50 5036262.40 -10.00 0.000652
284294.50 5036262.40 -10.00 0.000818
284314.50 5036262.40 -10.00 0.003163
284334.50 5036262.40 -10.00 0.001205
284214.50 5036282.40 -10.00 0.000792
284234.50 5036282.40 -10.00 0.000745
284254.50 5036282.40 -10.00 0.000849
284274.50 5036282.40 -10.00 0.000877
284294.50 5036282.40 -10.00 0.000888
284314.50 5036282.40 -10.00 0.000975
284334.50 5036282.40 -10.00 0.001243
284214.50 5036302.40 -10.00 0.000847
284234.50 5036302.40 -10.00 0.000859
284254.50 5036302.40 -10.00 0.000878
284274.50 5036302.40 -10.00 0.000825
284294.50 5036302.40 -10.00 0.000890
284314.50 5036302.40 -10.00 0.000978
284334.50 5036302.40 -10.00 0.001072
284214.50 5036322.40 -10.00 0.000837
284234.50 5036322.40 -10.00 0.000637
284254.50 5036322.40 -10.00 0.000688
284274.50 5036322.40 -10.00 0.000779
284294.50 5036322.40 -10.00 0.000863
284314.50 5036322.40 -10.00 0.000934
284334.50 5036322.40 -10.00 0.000989
284214.50 5036342.40 -10.00 0.000673
284234.50 5036342.40 -10.00 0.000539
284254.50 5036342.40 -10.00 0.000515
284274.50 5036342.40 -10.00 0.000722
284294.50 5036342.40 -10.00 0.000829
284314.50 5036342.40 -10.00 0.000895
284334.50 5036342.40 -10.00 0.000941
284214.50 5036142.40 -6.00 0.000886
284234.50 5036142.40 -6.00 0.000899
284254.50 5036142.40 -6.00 0.000919
284274.50 5036142.40 -6.00 0.000963
284294.50 5036142.40 -6.00 0.001095
284314.50 5036142.40 -6.00 0.001106
284334.50 5036142.40 -6.00 0.001118
284214.50 5036162.40 -6.00 0.000868
284234.50 5036162.40 -6.00 0.000882
284254.50 5036162.40 -6.00 0.000894
284274.50 5036162.40 -6.00 0.000936
284294.50 5036162.40 -6.00 0.001102
284314.50 5036162.40 -6.00 0.001173
284334.50 5036162.40 -6.00 0.001178
284214.50 5036182.40 -6.00 0.000847
284234.50 5036182.40 -6.00 0.000878
284254.50 5036182.40 -6.00 0.000882
284274.50 5036182.40 -6.00 0.000913
284294.50 5036182.40 -6.00 0.001071
284314.50 5036182.40 -6.00 0.002020
284334.50 5036182.40 -6.00 0.000067
284214.50 5036202.40 -6.00 0.000757
284234.50 5036202.40 -6.00 0.000762
284254.50 5036202.40 -6.00 0.000829
284274.50 5036202.40 -6.00 0.000900
284294.50 5036202.40 -6.00 0.000916
284314.50 5036202.40 -6.00 0.002521
284334.50 5036202.40 -6.00 0.005282
284214.50 5036222.40 -6.00 0.000501
284234.50 5036222.40 -6.00 0.000002
284254.50 5036222.40 -6.00 0.000465
284274.50 5036222.40 -6.00 0.000863
284294.50 5036222.40 -6.00 0.003363
284314.50 5036222.40 -6.00 0.002745
284334.50 5036222.40 -6.00 0.026491
284214.50 5036242.40 -6.00 0.000390
284234.50 5036242.40 -6.00 0.000010
284254.50 5036242.40 -6.00 0.000785
284274.50 5036242.40 -6.00 0.000762
284294.50 5036242.40 -6.00 0.001023
284314.50 5036242.40 -6.00 0.004869
284334.50 5036242.40 -6.00 0.020046
284214.50 5036262.40 -6.00 0.000688
284234.50 5036262.40 -6.00 0.000701
284254.50 5036262.40 -6.00 0.000673
284274.50 5036262.40 -6.00 0.000652
284294.50 5036262.40 -6.00 0.000820
284314.50 5036262.40 -6.00 0.003117
284334.50 5036262.40 -6.00 0.001183
284214.50 5036282.40 -6.00 0.000792
284234.50 5036282.40 -6.00 0.000745
284254.50 5036282.40 -6.00 0.000845
284274.50 5036282.40 -6.00 0.000877
284294.50 5036282.40 -6.00 0.000888
284314.50 5036282.40 -6.00 0.000972
284334.50 5036282.40 -6.00 0.001242
284214.50 5036302.40 -6.00 0.000847
284234.50 5036302.40 -6.00 0.000858
284254.50 5036302.40 -6.00 0.000878
284274.50 5036302.40 -6.00 0.000825
284294.50 5036302.40 -6.00 0.000890
284314.50 5036302.40 -6.00 0.000978
284334.50 5036302.40 -6.00 0.001071
284214.50 5036322.40 -6.00 0.000837
284234.50 5036322.40 -6.00 0.000640
284254.50 5036322.40 -6.00 0.000688
284274.50 5036322.40 -6.00 0.000779
284294.50 5036322.40 -6.00 0.000863
284314.50 5036322.40 -6.00 0.000934
284334.50 5036322.40 -6.00 0.000989
284214.50 5036342.40 -6.00 0.000673
284234.50 5036342.40 -6.00 0.000536
284254.50 5036342.40 -6.00 0.000510
284274.50 5036342.40 -6.00 0.000722
284294.50 5036342.40 -6.00 0.000829
284314.50 5036342.40 -6.00 0.000896
284334.50 5036342.40 -6.00 0.000941
284214.50 5036142.40 -2.00 0.000885
284234.50 5036142.40 -2.00 0.000899
284254.50 5036142.40 -2.00 0.000920
284274.50 5036142.40 -2.00 0.000964
284294.50 5036142.40 -2.00 0.001100
284314.50 5036142.40 -2.00 0.001107
284334.50 5036142.40 -2.00 0.001118
284214.50 5036162.40 -2.00 0.000868
284234.50 5036162.40 -2.00 0.000882
284254.50 5036162.40 -2.00 0.000894
284274.50 5036162.40 -2.00 0.000938
284294.50 5036162.40 -2.00 0.001110
284314.50 5036162.40 -2.00 0.001180
284334.50 5036162.40 -2.00 0.001179
284214.50 5036182.40 -2.00 0.000846
284234.50 5036182.40 -2.00 0.000878
284254.50 5036182.40 -2.00 0.000882
284274.50 5036182.40 -2.00 0.000915
284294.50 5036182.40 -2.00 0.001078
284314.50 5036182.40 -2.00 0.002040
284334.50 5036182.40 -2.00 0.000074
284214.50 5036202.40 -2.00 0.000755
284234.50 5036202.40 -2.00 0.000760
284254.50 5036202.40 -2.00 0.000828
284274.50 5036202.40 -2.00 0.000899
284294.50 5036202.40 -2.00 0.000933
284314.50 5036202.40 -2.00 0.002556
284334.50 5036202.40 -2.00 0.005332
284214.50 5036222.40 -2.00 0.000500
284234.50 5036222.40 -2.00 0.000000
284254.50 5036222.40 -2.00 0.000459
284274.50 5036222.40 -2.00 0.000862
284294.50 5036222.40 -2.00 0.003417
284314.50 5036222.40 -2.00 0.002789
284334.50 5036222.40 -2.00 0.026547
284214.50 5036242.40 -2.00 0.000389
284234.50 5036242.40 -2.00 0.000008
284254.50 5036242.40 -2.00 0.000784
284274.50 5036242.40 -2.00 0.000762
284294.50 5036242.40 -2.00 0.001018
284314.50 5036242.40 -2.00 0.004922
284334.50 5036242.40 -2.00 0.020106
284214.50 5036262.40 -2.00 0.000688
284234.50 5036262.40 -2.00 0.000701
284254.50 5036262.40 -2.00 0.000673
284274.50 5036262.40 -2.00 0.000652
284294.50 5036262.40 -2.00 0.000819
284314.50 5036262.40 -2.00 0.003156
284334.50 5036262.40 -2.00 0.001204
