64
# x y z
0.090 0.430 0.000
5 8 49 52 235.091660 0.931395
5 8 50 53 317.006712 0.879272
5 8 51 54 398.688847 0.608016
5 8 52 55 463.929966 1.109631
5 8 53 56 453.174742 1.224634
5 8 54 57 -484.680696 0.830713
5 8 55 58 -592.722666 1.896770
5 8 56 59 -635.969954 1.402431
5 8 57 60 230.032536 0.867626
5 8 58 61 287.217888 1.163001
5 8 59 62 342.369751 1.176414
5 8 60 63 367.548307 1.514838
5 8 61 64 355.332828 1.690658
5 8 62 1 -1704.314950 0.254492
5 8 63 2 -2458.449490 1.252723
5 8 64 3 -4111.393765 1.882931
6 9 8 11 7959.099510 0.834955
6 9 12 15 -4727.947290 0.472990
6 9 13 16 -724.895211 2.642476
6 9 16 19 6736.247355 0.719727
6 9 18 21 -6539.647330 1.232818
6 9 19 22 -5952.106640 0.860785
6 9 21 24 -1206.089505 0.225198
6 9 23 26 6395.267795 0.754463
6 9 24 27 5007.740640 0.560152
6 9 25 28 -3577.793970 0.926891
6 9 27 30 -3919.604725 0.821468
6 9 28 31 -2689.060355 1.832318
6 9 30 33 4458.064785 1.942770
6 9 31 34 4187.529015 1.007990
6 9 32 35 3618.292835 1.654624
6 9 34 37 -2319.113925 2.067478
6 9 36 39 -2172.371060 1.460483
6 9 37 40 -1370.306585 0.829323
6 9 38 41 2897.039040 1.725558
6 9 39 42 3046.052275 1.406388
6 9 40 43 2731.993695 1.351004
6 9 41 44 -1283.198910 1.576482
6 9 42 45 -1548.431280 1.613419
6 9 43 46 -1607.425530 1.768877
6 9 44 47 -1574.350985 1.748033
6 9 45 48 -1244.804010 2.020532
6 9 46 49 2014.962840 0.801625
6 9 47 50 2219.503500 0.836636
6 9 48 51 2088.423560 0.914457
6 9 49 52 -987.660841 1.976971
6 9 50 53 -1134.589575 1.829573
6 9 51 54 -1201.691055 1.418072
6 9 52 55 -1202.808810 1.804882
6 9 53 56 -1052.257320 1.845205
6 9 54 57 1628.595295 1.851986
6 9 55 58 1766.670355 1.011527
6 9 56 59 1716.447815 0.620018
6 9 57 60 -858.327726 2.012176
6 9 58 61 -963.007328 2.263015
6 9 59 62 -1017.954180 2.079096
7 10 9 12 -5157.822080 1.896626
7 10 12 15 -7069.131630 0.207006
7 10 13 16 -3562.486180 0.341817
7 10 15 18 8284.782325 2.543335
7 10 18 21 -6640.427570 0.709862
7 10 19 22 -6856.806290 0.389604
7 10 21 24 -2651.659190 0.399027
7 10 22 25 6321.173335 0.681204
7 10 23 26 6618.276225 0.888046
7 10 25 28 -2594.531620 1.060554
7 10 27 30 -4231.562435 0.677413
7 10 28 31 -3326.029880 1.095540
7 10 30 33 4035.932095 1.366841
7 10 31 34 4206.592990 0.232805
7 10 32 35 3996.517935 1.270835
7 10 34 37 -2160.588745 1.596721
7 10 36 39 -2431.019735 1.541829
7 10 37 40 -1676.860130 1.020177
7 10 38 41 2722.003605 1.713608
7 10 39 42 3060.556960 1.405299
7 10 40 43 2891.126575 1.341471
7 10 41 44 -1124.856155 1.693828
7 10 42 45 -1473.845545 1.685928
7 10 43 46 -1642.704140 1.799953
7 10 44 47 -1687.017970 1.680386
7 10 45 48 -1377.769740 1.949327
7 10 46 49 1946.101605 0.806900
7 10 47 50 2233.654155 0.868201
7 10 48 51 2168.668245 0.933640
7 10 49 52 -912.449390 2.012429
7 10 50 53 -1096.915120 1.826982
7 10 51 54 -1213.140005 1.384632
7 10 52 55 -1255.863310 1.874537
7 10 53 56 -1123.403365 1.904293
7 10 54 57 1588.713275 1.936562
7 10 55 58 1773.724610 0.941434
7 10 56 59 1763.833785 0.554886
7 10 57 60 -813.134070 2.126448
7 10 58 61 -939.627530 2.353731
7 10 59 62 -1024.199260 2.176061
8 11 9 12 -366.595307 0.678335
8 11 10 13 -5990.765045 0.004731
8 11 12 15 -8546.464320 0.260515
8 11 13 16 -5541.736195 0.410224
8 11 14 17 6473.267455 0.139799
8 11 16 19 9544.137190 1.969176
8 11 18 21 -4707.815205 0.642627
8 11 19 22 -7341.916250 0.046149
8 11 21 24 -3804.804550 0.358346
