64
# x y z
+.09000 +.43000 +.00000
+.14000 +.43000 +.00000
+.19000 +.43000 +.00000
+.24000 +.43000 +.00000
+.29000 +.43000 +.00000
+.34000 +.43000 +.00000
6 9 57 60 -858.327726
6 9 58 61 -963.007328
6 9 59 62 -1017.954180
6 9 63 2 7144.603825
6 9 64 3 3923.464325
7 10 9 12 -5157.822080
7 10 12 15 -7069.131630
7 10 13 16 -3562.486180
7 10 15 18 8284.782325
7 10 17 20 -4107.447680
7 10 18 21 -6640.427570
7 10 19 22 -6856.806290
7 10 20 23 -4943.919675
7 10 21 24 -2651.659190
7 10 22 25 6321.173335
7 10 23 26 6618.276225
7 10 25 28 -2594.531620
7 10 26 29 -3701.301325
7 10 27 30 -4231.562435
7 10 28 31 -3326.029880
7 10 29 32 -2218.948105
7 10 30 33 4035.932095
7 10 31 34 4206.592990
7 10 32 35 3996.517935
7 10 33 36 -1482.493660
7 10 34 37 -2160.588745
7 10 35 38 -2539.266955
7 10 36 39 -2431.019735
7 10 37 40 -1676.860130
7 10 38 41 2722.003605
7 10 39 42 3060.556960
7 10 40 43 2891.126575
7 10 41 44 -1124.856155
7 10 42 45 -1473.845545
7 10 43 46 -1642.704140
7 10 44 47 -1687.017970
7 10 45 48 -1377.769740
7 10 46 49 1946.101605
7 10 47 50 2233.654155
7 10 48 51 2168.668245
7 10 49 52 -912.449390
7 10 50 53 -1096.915120
7 10 51 54 -1213.140005
7 10 52 55 -1255.863310
7 10 53 56 -1123.403365
7 10 54 57 1588.713275
7 10 55 58 1773.724610
7 10 56 59 1763.833785
7 10 57 60 -813.134070
7 10 58 61 -939.627530
7 10 59 62 -1024.199260
7 10 64 3 6582.361365
8 11 9 12 -366.595307
8 11 10 13 -5990.765045
8 11 12 15 -8546.464320
8 11 13 16 -5541.736195
8 11 14 17 6473.267455
8 11 16 19 9544.137190
8 11 17 20 -1020.856105
8 11 18 21 -4707.815205
8 11 19 22 -7341.916250
8 11 20 23 -6118.386670
8 11 21 24 -3804.804550
8 11 22 25 4693.197945
8 11 23 26 5810.553820
8 11 25 28 -1268.113420
8 11 26 29 -2781.993655
8 11 27 30 -4028.962215
8 11 28 31 -3724.917725
8 11 29 32 -2762.150645
8 11 30 33 3227.926205
8 11 31 34 3826.844305
8 11 32 35 4007.446100
8 11 33 36 -972.837604
8 11 34 37 -1759.955920
8 11 35 38 -2386.872595
8 11 36 39 -2446.710295
8 11 37 40 -1837.174615
8 11 38 41 2271.440230
8 11 39 42 2759.726820
8 11 40 43 2763.891390
8 11 41 44 -862.338205
8 11 42 45 -1245.242525
8 11 43 46 -1507.122535
8 11 44 47 -1632.112775
8 11 45 48 -1381.396235
8 11 46 49 1687.046205
8 11 47 50 2027.060525
8 11 48 51 2037.490320
8 11 49 52 -752.372549
8 11 50 53 -950.853956
8 11 51 54 -1103.542485
8 11 52 55 -1186.433135
8 11 53 56 -1087.853955
8 11 54 57 1397.121770
8 11 55 58 1609.776490
8 11 56 59 1641.843805
8 11 57 60 -692.357093
8 11 58 61 -825.987480
8 11 59 62 -930.992814
8 11 60 63 -936.299241
8 11 61 64 -867.999578
8 11 62 1 5415.879685
8 11 63 2 7493.816125
8 11 64 3 8693.089335
9 12 10 13 8320.654615
9 12 11 14 1438.550300
9 12 13 16 -3609.532250
9 12 14 17 -6999.180000
9 12 15 18 -4004.253655
9 12 16 19 -925.442793
9 12 17 20 7960.263845
9 12 18 21 5189.421080
